ville,pays,lat,lon,date_extraction,heure_extraction,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-01,00,2025-07-01T00:00:00+00:00,1,69.54,0.0,0.22,42.45,0.07,1.31,2.8,0.14
Cairo,EG,30.0444,31.2357,2025-07-01,00,2025-07-01T00:00:00+00:00,2,118.48,0.0,1.5,86.61,0.98,12.68,43.65,7.38
New York,US,40.7128,-74.006,2025-07-01,00,2025-07-01T00:00:00+00:00,2,142.09,0.01,3.96,68.99,0.88,9.4,11.02,0.29
Paris,FR,48.8566,2.3522,2025-07-01,00,2025-07-01T00:00:00+00:00,1,93.15,0.0,3.57,42.68,0.25,3.31,4.15,6.11
Sydney,AU,-33.8688,151.2093,2025-07-01,00,2025-07-01T00:00:00+00:00,1,70.27,0.01,0.59,58.96,0.13,0.62,0.96,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,00,2025-07-01T00:00:00+00:00,2,133.25,0.17,1.05,83.4,1.84,7.59,16.44,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,01,2025-07-01T01:00:00+00:00,1,69.69,0.0,0.22,42.48,0.07,1.3,2.85,0.15
Cairo,EG,30.0444,31.2357,2025-07-01,01,2025-07-01T01:00:00+00:00,2,123.44,0.0,2.44,80.46,1.94,13.66,44.94,8.04
New York,US,40.7128,-74.006,2025-07-01,01,2025-07-01T01:00:00+00:00,2,138.83,0.0,3.61,69.11,0.84,8.71,10.72,0.26
Paris,FR,48.8566,2.3522,2025-07-01,01,2025-07-01T01:00:00+00:00,1,91.52,0.0,3.22,36.45,0.21,3.38,4.23,6.91
Sydney,AU,-33.8688,151.2093,2025-07-01,01,2025-07-01T01:00:00+00:00,1,69.78,0.02,0.6,59.02,0.12,0.63,0.97,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,01,2025-07-01T01:00:00+00:00,2,132.84,0.13,0.88,86.67,1.8,7.67,16.76,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,02,2025-07-01T02:00:00+00:00,1,71.56,0.0,0.23,41.48,0.08,1.37,3.01,0.17
Cairo,EG,30.0444,31.2357,2025-07-01,02,2025-07-01T02:00:00+00:00,2,129.11,0.0,3.57,73.12,2.63,14.76,46.39,8.18
New York,US,40.7128,-74.006,2025-07-01,02,2025-07-01T02:00:00+00:00,2,136.19,0.0,3.31,69.27,0.82,8.06,10.39,0.27
Paris,FR,48.8566,2.3522,2025-07-01,02,2025-07-01T02:00:00+00:00,1,90.63,0.0,2.98,31.95,0.17,3.45,4.3,7.38
Sydney,AU,-33.8688,151.2093,2025-07-01,02,2025-07-01T02:00:00+00:00,1,69.13,0.02,0.58,59.26,0.1,0.6,0.91,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,02,2025-07-01T02:00:00+00:00,2,132.05,0.1,0.84,87.55,1.83,7.66,17.11,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,03,2025-07-01T03:00:00+00:00,1,73.88,0.0,0.26,41.07,0.09,1.47,3.25,0.18
Cairo,EG,30.0444,31.2357,2025-07-01,03,2025-07-01T03:00:00+00:00,2,133.26,0.0,4.3,66.63,2.67,15.8,49.0,8.0
New York,US,40.7128,-74.006,2025-07-01,03,2025-07-01T03:00:00+00:00,2,134.43,0.0,3.19,67.42,0.83,7.33,9.95,0.33
Paris,FR,48.8566,2.3522,2025-07-01,03,2025-07-01T03:00:00+00:00,1,89.73,0.0,2.82,29.34,0.12,3.51,4.34,7.42
Sydney,AU,-33.8688,151.2093,2025-07-01,03,2025-07-01T03:00:00+00:00,2,68.63,0.02,0.52,60.04,0.09,0.58,0.85,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,03,2025-07-01T03:00:00+00:00,2,131.2,0.07,0.89,87.02,1.88,7.65,17.46,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,04,2025-07-01T04:00:00+00:00,1,79.31,0.0,0.36,40.48,0.12,1.71,3.77,0.27
Cairo,EG,30.0444,31.2357,2025-07-01,04,2025-07-01T04:00:00+00:00,3,135.36,0.04,4.84,61.11,2.53,16.68,52.01,7.8
New York,US,40.7128,-74.006,2025-07-01,04,2025-07-01T04:00:00+00:00,2,132.29,0.0,3.0,64.64,0.82,6.54,9.49,0.46
Paris,FR,48.8566,2.3522,2025-07-01,04,2025-07-01T04:00:00+00:00,1,87.78,0.0,2.77,27.26,0.1,3.46,4.25,7.02
Sydney,AU,-33.8688,151.2093,2025-07-01,04,2025-07-01T04:00:00+00:00,2,68.91,0.01,0.46,62.01,0.07,0.57,0.78,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,04,2025-07-01T04:00:00+00:00,2,130.82,0.04,1.02,86.23,1.9,7.72,17.82,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,05,2025-07-01T05:00:00+00:00,1,85.27,0.04,0.39,40.77,0.17,1.89,4.23,0.41
Cairo,EG,30.0444,31.2357,2025-07-01,05,2025-07-01T05:00:00+00:00,3,139.25,0.56,4.82,59.01,2.87,17.88,56.07,7.61
New York,US,40.7128,-74.006,2025-07-01,05,2025-07-01T05:00:00+00:00,2,129.23,0.0,2.71,61.55,0.81,5.77,8.83,0.63
Paris,FR,48.8566,2.3522,2025-07-01,05,2025-07-01T05:00:00+00:00,1,87.71,0.05,3.46,25.46,0.1,3.47,4.22,6.56
Sydney,AU,-33.8688,151.2093,2025-07-01,05,2025-07-01T05:00:00+00:00,2,68.7,0.0,0.4,64.83,0.06,0.61,0.94,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,05,2025-07-01T05:00:00+00:00,2,130.69,0.03,1.16,85.51,1.92,7.85,18.14,0.0
Antananarivo,MG,-18.8792,47.5079,2025-07-01,06,2025-07-01T06:00:00+00:00,1,87.47,0.08,0.31,42.89,0.19,1.92,4.33,0.51
Cairo,EG,30.0444,31.2357,2025-07-01,06,2025-07-01T06:00:00+00:00,3,143.64,1.12,4.23,63.1,3.29,19.43,61.56,7.23
New York,US,40.7128,-74.006,2025-07-01,06,2025-07-01T06:00:00+00:00,1,126.79,0.0,2.54,58.8,0.85,5.0,7.74,0.81
Paris,FR,48.8566,2.3522,2025-07-01,06,2025-07-01T06:00:00+00:00,1,88.79,0.69,4.13,25.95,0.12,3.49,4.22,6.16
Sydney,AU,-33.8688,151.2093,2025-07-01,06,2025-07-01T06:00:00+00:00,2,68.21,0.0,0.37,67.72,0.06,0.69,1.24,0.01
Tokyo,JP,35.6762,139.6503,2025-07-01,06,2025-07-01T06:00:00+00:00,2,130.39,0.03,1.28,85.13,1.96,7.95,18.37,0.0
